"label","department_name","region_name"
"largentiere","ardèche","auvergne-rhône-alpes"
"mariac","ardèche","auvergne-rhône-alpes"
"montselgues","ardèche","auvergne-rhône-alpes"
"privas","ardèche","auvergne-rhône-alpes"
"rocles","ardèche","auvergne-rhône-alpes"
"st cierge sous le cheylard","ardèche","auvergne-rhône-alpes"
"st marcel les annonay","ardèche","auvergne-rhône-alpes"
"st pierre st jean","ardèche","auvergne-rhône-alpes"
"st pierreville","ardèche","auvergne-rhône-alpes"
"les vans","ardèche","auvergne-rhône-alpes"
"alieze","jura","bourgogne-franche-comté"
"arinthod","jura","bourgogne-franche-comté"
"arlay","jura","bourgogne-franche-comté"
"la chailleuse","jura","bourgogne-franche-comté"
"aumont","jura","bourgogne-franche-comté"
"auxange","jura","bourgogne-franche-comté"
"avignon les st claude","jura","bourgogne-franche-comté"
"bans","jura","bourgogne-franche-comté"
"baverans","jura","bourgogne-franche-comté"
"beaufort orbagna","jura","bourgogne-franche-comté"
"bellefontaine","jura","bourgogne-franche-comté"
"belmont","jura","bourgogne-franche-comté"
"bersaillin","jura","bourgogne-franche-comté"
"bracon","jura","bourgogne-franche-comté"
"buvilly","jura","bourgogne-franche-comté"
"cernon","jura","bourgogne-franche-comté"
"les chalesmes","jura","bourgogne-franche-comté"
"charency","jura","bourgogne-franche-comté"
"charezier","jura","bourgogne-franche-comté"
"chateau chalon","jura","bourgogne-franche-comté"
"le chateley","jura","bourgogne-franche-comté"
"chatillon","jura","bourgogne-franche-comté"
"nanchez","jura","bourgogne-franche-comté"
"chaux champagny","jura","bourgogne-franche-comté"
"chille","jura","bourgogne-franche-comté"
"chilly sur salins","jura","bourgogne-franche-comté"
"chissey sur loue","jura","bourgogne-franche-comté"
"commenailles","jura","bourgogne-franche-comté"
"courlans","jura","bourgogne-franche-comté"
"courlaoux","jura","bourgogne-franche-comté"
"courtefontaine","jura","bourgogne-franche-comté"
"coyron","jura","bourgogne-franche-comté"
"hauteroche","jura","bourgogne-franche-comté"
"crenans","jura","bourgogne-franche-comté"
"crissey","jura","bourgogne-franche-comté"
"dampierre","jura","bourgogne-franche-comté"
"denezieres","jura","bourgogne-franche-comté"
"le deschaux","jura","bourgogne-franche-comté"
"les deux fays","jura","bourgogne-franche-comté"
"digna","jura","bourgogne-franche-comté"
"dole","jura","bourgogne-franche-comté"
"dompierre sur mont","jura","bourgogne-franche-comté"
"dramelay","jura","bourgogne-franche-comté"
"val d epy","jura","bourgogne-franche-comté"
"val d epy","jura","bourgogne-franche-comté"
"equevillon","jura","bourgogne-franche-comté"
"alos","ariège","occitanie"
"etival","jura","bourgogne-franche-comté"
"arignac","ariège","occitanie"
"francheville","jura","bourgogne-franche-comté"
"artigues","ariège","occitanie"
"le frasnois","jura","bourgogne-franche-comté"
"aulus les bains","ariège","occitanie"
"geraise","jura","bourgogne-franche-comté"
"balacet","ariège","occitanie"
"germigney","jura","bourgogne-franche-comté"
"la bastide de bousignac","ariège","occitanie"
"gevingey","jura","bourgogne-franche-comté"
"la bastide de serou","ariège","occitanie"
"grande riviere chateau","jura","bourgogne-franche-comté"
"la bastide sur l hers","ariège","occitanie"
"graye et charnay","jura","bourgogne-franche-comté"
"belloc","ariège","occitanie"
"ivrey","jura","bourgogne-franche-comté"
"benaix","ariège","occitanie"
"ladoye sur seille","jura","bourgogne-franche-comté"
"bethmale","ariège","occitanie"
"bordes uchentein","ariège","occitanie"
"larnaud","jura","bourgogne-franche-comté"
"brie","ariège","occitanie"
"la latette","jura","bourgogne-franche-comté"
"camarade","ariège","occitanie"
"lavans les st claude","jura","bourgogne-franche-comté"
"camon","ariège","occitanie"
"lavans les st claude","jura","bourgogne-franche-comté"
"carcanieres","ariège","occitanie"
"lavans les st claude","jura","bourgogne-franche-comté"
"cazals des bayles","ariège","occitanie"
"lavigny","jura","bourgogne-franche-comté"
"cerizols","ariège","occitanie"
"lavigny","jura","bourgogne-franche-comté"
"chateau verdun","ariège","occitanie"
"lect","jura","bourgogne-franche-comté"
"lemuy","jura","bourgogne-franche-comté"
"lent","jura","bourgogne-franche-comté"
"longcochon","jura","bourgogne-franche-comté"
"la loye","jura","bourgogne-franche-comté"
"marnezia","jura","bourgogne-franche-comté"
"mesnay","jura","bourgogne-franche-comté"
"mignovillard","jura","bourgogne-franche-comté"
"mignovillard","jura","bourgogne-franche-comté"
"molain","jura","bourgogne-franche-comté"
"molay","jura","bourgogne-franche-comté"
"monay","jura","bourgogne-franche-comté"
"monnieres","jura","bourgogne-franche-comté"
"montholier","jura","bourgogne-franche-comté"
"montigny les arsures","jura","bourgogne-franche-comté"
"montigny sur l ain","jura","bourgogne-franche-comté"
"montmirey la ville","jura","bourgogne-franche-comté"
"montmirey le chateau","jura","bourgogne-franche-comté"
"montrond","jura","bourgogne-franche-comté"
"morbier","jura","bourgogne-franche-comté"
